DB00216,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB00217,CN=C(NC)NCc1ccccc1
DB00218,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00221,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00222,CCC1=C(C)CN(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCC(C)CC3)cc2)C1=O
DB00223,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
DB00226,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
DB00228,FC(F)OC(F)(F)C(F)Cl
DB00230,CC(C)CC(CN)CC(=O)O
DB00231,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233,Nc1ccc(C(=O)O)c(O)c1
DB00234,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
DB00235,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00239,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO
DB00241,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
DB00243,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244,Nc1ccc(O)c(C(=O)O)c1
DB00245,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
DB00246,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1
DB00248,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21
DB00252,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00253,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C
DB00255,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00257,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
DB00261,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
DB00262,O=NN(CCCl)C(=O)NCCCl
DB00264,COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00266,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
DB00268,CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00270,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
DB00272,NCCc1ccn[nH]1
DB00273,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
DB00275,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00276,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
DB00277,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00278,CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(=N)N)C(=O)N2CCC(C)CC2C(=O)O)C1
DB00279,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
DB00280,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
DB00281,CCN(CC)CC(=O)Nc1c(C)cccc1C
DB00282,NCCC(O)(P(=O)(O)O)P(=O)(O)O
DB00283,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
DB00284,CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
DB00287,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1cccc(C(F)(F)F)c1
DB00288,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
DB00289,CNCCC(Oc1ccccc1C)c1ccccc1
DB00290,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1
DB00292,CCOC(=O)c1cncn1C(C)c1ccccc1
DB00293,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1
DB00294,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC
DB00295,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
DB00296,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB00297,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB00298,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
DB00302,NCC1CCC(C(=O)O)CC1
DB00304,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC
DB00306,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
DB00307,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
DB00308,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
DB00309,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1
DB00310,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
DB00312,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00313,CCCC(CCC)C(=O)O
DB00315,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12
DB00316,CC(=O)Nc1ccc(O)cc1
DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
DB00318,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341
DB00320,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21
DB00321,CN(C)CCC=C1c2ccccc2CCc2ccccc21
DB00322,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
DB00323,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
DB00324,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
